label,Eusocial,HD.all
Ipimorpha_pleonectusa,solitary,DD
Lithophane_pexata,solitary,DD
Lithophane_itata,solitary,DD
Chytonix_sensilis,solitary,DD
Thalpophila_matura,solitary,DD
Anarta_trifolii,solitary,DD
Melanchra_assimilis,solitary,DD
Lacanobia_aliena,solitary,DD
Egira_dolosa,solitary,DD
Egira_crucialis,solitary,DD
Crocigrapha_normani,solitary,DD
Egira_conspicillaris,solitary,DD
Proteuxoa_rubripuncta,solitary,DD
Proteuxoa_adelopa,solitary,DD
Proteuxoa_scotti,solitary,DD
Proteuxoa_ochrias,solitary,DD
Proteuxoa_melodora,solitary,DD
Homorthodes_furfurata,solitary,DD
Chytonix_mniochroa,solitary,DD
Neumichtis_signata,solitary,DD
Leucania_venalba,solitary,DD
Leucania_linearis,solitary,DD
Leucania_rhodopsara,solitary,DD
Mythimna_albomarginata,solitary,DD
Mythimna_andereggii,solitary,DD
Dasygaster_oressigenes,solitary,DD
Lasionycta_sierra,solitary,DD
Eublemma_amoena,solitary,DD
Tristyla_alboplagiata,solitary,DD
Gyrtothripa_verecunda,solitary,DD
Blenina_viridata,solitary,DD
Nola_opalina,solitary,DD
Nola_basinigra,solitary,DD
Westermannia_superba,solitary,DD
Nanaguna_albisecta,solitary,DD
Nycteola_revayana,solitary,DD
Nycteola_degenerana,solitary,DD
Ankale_maltha,solitary,DD
Hemiceras_transducta,solitary,DD
Hemiceras_plana,solitary,DD
Rifargia_imitata,solitary,DD
Talmeca_remota,solitary,DD
Hylaeora_capucina,solitary,DD
Clostera_pigra,solitary,DD
Erbessa_salvini,solitary,DD
Tithraustes_lambertae,solitary,DD
Dioptis_longipennis,solitary,DD
Antaea_lichyi,solitary,DD
Farigia_gamarra,solitary,DD
Cnethodonta_grisescens,solitary,DD
Epicoma_asbolina,solitary,DD
Parnassius_ariadne,solitary,DD
Papilio_protenor,solitary,DD
Lycorea_ilione,solitary,DD
Oleria_onega,solitary,DD
Episcada_hymenaea,solitary,DD
Godyris_nero,solitary,DD
Ithomia_hippocrenis,solitary,DD
Charaxes_varanes,solitary,DD
Charaxes_porthos,solitary,DD
Charaxes_setan,solitary,DD
Charaxes_mars,solitary,DD
Lymanopoda_hyagnis,solitary,DD
Lymanopoda_nivea,solitary,DD
Melanargia_ines,solitary,DD
Melanargia_hylata,solitary,DD
Kirinia_roxelana,solitary,DD
Coenonympha_leander,solitary,DD
Geitoneura_klugii,solitary,DD
Calisto_aquilum,solitary,DD
Calisto_obscura,solitary,DD
Moneuptychia_soter,solitary,DD
Erichthodes_antonina,solitary,DD
