"label","genus","species","order","family","sociality","haplodiploidy","HD.arrhenotoky","HD.all","Eusocial","Eusocial.strict","Eus.strict.koos.gawne"
"Gryllotalpa_orientalis","Gryllotalpa","orientalis","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Gryllotalpa_gryllotalpa","Gryllotalpa","gryllotalpa","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Scapteriscus_borellii","Scapteriscus","borellii","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Myrmecophilus_acervorum","Myrmecophilus","acervorum","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Labiduridae_JIABD01616_BD00739584","Labiduridae","JIABD01616_BD00739584","Dermaptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Labidura_japonica","Labidura","japonica","Dermaptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Euborellia_MOBIL88215_BD00372041","Euborellia","MOBIL88215_BD00372041","Dermaptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Euborellia_arcanum","Euborellia","arcanum","Dermaptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Challia_fletcheri","Challia","fletcheri","Dermaptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Tumulitermes_sp_AUS49_KY224696","Tumulitermes","sp_AUS49_KY224696","Blattodea","Termitidae","advanced eusocial","diploid","DD","DD","eusocial","eusocial","eusocial"
"Porotermes_GMATS49316_BD001024899","Porotermes","GMATS49316_BD001024899","Blattodea","Stolotermitidae","advanced eusocial","diploid","DD","DD","eusocial","eusocial","solitary"
"Mastotermes_darwiniensis","Mastotermes","darwiniensis","Blattodea","Mastotermitidae","advanced eusocial","diploid","DD","DD","eusocial","eusocial","solitary"
"Cryptocercus_punctulatus","Cryptocercus","punctulatus","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ctenoneura_heixuanfeng","Ctenoneura","heixuanfeng","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Nocticola_sp","Nocticola","sp","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Arenivaga_JSBTW18212_BD00307095","Arenivaga","JSBTW18212_BD00307095","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Latindiinae_sp_MNHN_BL128_KP986418","Latindiinae","sp_MNHN_BL128_KP986418","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Arenivaga_apacha","Arenivaga","apacha","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Polyphaga_plancyi","Polyphaga","plancyi","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ergaula_capucina","Ergaula","capucina","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Neostylopyga_rhombifolia","Neostylopyga","rhombifolia","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Parcoblatta_uhleriana","Parcoblatta","uhleriana","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ectobiidae_AUSMF02714_BD001048229","Ectobiidae","AUSMF02714_BD001048229","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Moluchia_brevipennis","Moluchia","brevipennis","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Margattea_sp_5_ZW_2016_KY349626","Margattea","sp_5_ZW_2016_KY349626","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ectobiidae_GMHNC00415_BD00601183","Ectobiidae","GMHNC00415_BD00601183","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ectobiidae_sp_CBA1782_KF155130","Ectobiidae","sp_CBA1782_KF155130","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Balta_notulata","Balta","notulata","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Isoldaia_sp_MNHN_PG9_KP986410","Isoldaia","sp_MNHN_PG9_KP986410","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ectobiidae_GBA1468314_KF155102","Ectobiidae","GBA1468314_KF155102","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ectobiidae_GBA2361215_KF155074","Ectobiidae","GBA2361215_KF155074","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ectobius_lapponicus","Ectobius","lapponicus","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Epilamprinae_sp_CBA1847_KF155124","Epilamprinae","sp_CBA1847_KF155124","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Gromphadorhina_portentosa","Gromphadorhina","portentosa","Blattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Acromantis_MN321_FJ802891","Acromantis","MN321_FJ802891","Mantodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Hierodula_schultzei","Hierodula","schultzei","Mantodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Leptomantella_MN322_FJ802892","Leptomantella","MN322_FJ802892","Mantodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Hagiomantis_superba","Hagiomantis","superba","Mantodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Tropidoderus_childrenii","Tropidoderus","childrenii","Phasmatodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Timema_cristinae","Timema","cristinae","Phasmatodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Sclerophasma_paresisense","Sclerophasma","paresisense","Mantophasmatodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Grylloblatta_sculleni","Grylloblatta","sculleni","Grylloblattodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Qinlingacris_taibaiensis","Qinlingacris","taibaiensis","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Tanaocerus_koebelei","Tanaocerus","koebelei","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Bennia_multispinata","Bennia","multispinata","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Pielomastax_zhengi","Pielomastax","zhengi","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Pseudothericles_compressifrons","Pseudothericles","compressifrons","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Tetrix_bipunctata","Tetrix","bipunctata","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Coptotettix_sp_BIOUG02561_B03_KY836016","Coptotettix","sp_BIOUG02561_B03_KY836016","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Coptotettix_fangchengensis","Coptotettix","fangchengensis","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
